awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Computational Tools for Dynamical Systems,08/01/2015,08/31/2017,83295,Standard Grant,11/17/2015,11/17/2015,,1602300,Leland M. Jameson,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Saint Louis University,St Louis,631032006,3149773925,221 N. Grand Blvd.,United States,Missouri,MO
PostDoctoral Research Fellowship,06/01/2016,05/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606422,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Knudsen Benjamin,Chicago,60622,None,None,United States,Illinois,IL
MRI: Development of an Apertureless Near-Field Scanning Optical and Magneto-Optical Kerr Effect Microscope for Nano-Science Applications,07/01/2015,08/31/2016,316312,Standard Grant,03/28/2016,03/28/2016,,1631282,Leonard Spinu,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Cornell University,Ithaca,148502820,6072555014,373 Pine Tree Road,United States,New York,NY
Enhancing an Energy Technology Associate Degree Program to Meet Employer Needs,08/01/2016,07/31/2019,199986,Standard Grant,04/12/2016,04/12/2016,,1601875,Elizabeth Teles,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Lake-Sumter State College,Leesburg,347883950,3523233609,9501 U S Hwy 441,United States,Florida,FL
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1604148,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Lang Jaclyn A,Los Angeles,90049,None,None,United States,California,CA
DISSERTATION RESEARCH : Species pool influences on the structure and function of fungal symbiont communities,06/01/2016,05/31/2017,16900,Standard Grant,03/24/2016,03/24/2016,,1600521,George Malanson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
EDU: Collaborative: Re-energizing K-12 Extramural Programs with Security Activities,08/13/2015,05/31/2017,299782,Standard Grant,02/10/2016,03/15/2016,,1628726,Victor P. Piotrowski,11010001,Direct For Education and Human Resources,Direct For Education and Human Resources,California Polytechnic State University Foundation,San Luis Obispo,934070830,8057562982,One Grand Ave,United States,California,CA
"Workshop: Setting a Broader Impact Innovation Roadmap; Arlington, Virginia; May 2016",03/15/2016,05/31/2017,58005,Standard Grant,03/10/2016,03/10/2016,,1629955,Joanne D. Culbertson,07030000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
"Broadband Seismological Observations of Aftershocks of the September 16, 2015 Mw 8.3 Illapel Earthquake, Chile",12/01/2015,11/30/2017,99990,Standard Grant,11/27/2015,11/27/2015,,1600890,Eva E. Zanzerkia,06030204,Directorate For Geosciences,Directorate For Geosciences,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
"RAPID: A real-world opportunity to study responsibility, social identity, signaling, and collective mobilization",01/15/2016,12/31/2016,124975,Standard Grant,01/04/2016,01/04/2016,,1622687,Kerry Marsh,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
NSF Student Travel Grant for 2016 ACM Annual International Conference on Mobile Computing and Networking (ACM MobiCom),05/01/2016,04/30/2017,20000,Standard Grant,02/26/2016,02/26/2016,,1632191,Wenjing Lou,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,SUNY at Binghamton,BINGHAMTON,139026000,6077776136,4400 VESTAL PKWY E,United States,New York,NY
Role of Fronto-Parietal Cortex in Delay Discounting,08/24/2015,05/31/2016,205310,Continuing grant,11/16/2015,11/16/2015,,1613264,Jonathan W. Leland,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Arizona State University,TEMPE,852816011,4809655479,ORSPA,United States,Arizona,AZ
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1603681,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Leven Emily,La Jolla,92037,None,None,United States,Texas,TX
"Local Cohomology, the Frobenius Endomorphism, D-Module Theory, and Invariant Theory",11/01/2015,07/31/2018,112589,Standard Grant,01/19/2016,01/19/2016,,1623035,Andrew D. Pollington,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Kansas Center for Research Inc,LAWRENCE,660457568,7858643441,2385 IRVING HILL RD,United States,Kansas,KS
PostDoctoral Research Fellowship,07/01/2016,06/30/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606350,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Tait Michael,La Jolla,92092,None,None,United States,California,CA
Tailoring Size and Shape of beta-Sheet Nanocrystals for Crosslinking and Reinforcement of Elastomers,06/01/2016,05/31/2019,150000,Continuing grant,03/25/2016,03/25/2016,,1610109,Andrew J. Lovinger,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Akron,Akron,443250001,3309727666,302 Buchtel Common,United States,Ohio,OH
CPS: Breakthrough: From Whole-Hand Tactile Imaging to Interactive Simulation,09/01/2015,12/31/2017,408330,Standard Grant,02/23/2016,02/23/2016,,1628831,Robbie Brown,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of California-Santa Barbara,SANTA BARBARA,931062050,8058934188,Office of Research,United States,California,CA
Computing and Intersectionality (The Social and Behavioral Structures at Play for Black Women in the Computing Sciences): An Inclusive Agenda for Computing,01/15/2016,06/30/2016,49228,Standard Grant,01/05/2016,01/05/2016,,1620932,Kamau Bobb,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Howard University,Washington,200599000,2028064759,2400 Sixth Street N W,United States,District of Columbia,DC
Collaborative Research: Calibrating Shallow Geophysical Techniques to Detect Large Wood Buried in River Corridors,01/01/2016,12/31/2016,6900,Standard Grant,12/21/2015,12/21/2015,,1612944,Justin Lawrence,06030206,Directorate For Geosciences,Directorate For Geosciences,Colorado State University,Fort Collins,805232002,9704916355,601 S Howes St,United States,Colorado,CO
"2016 Plant Volatiles GRC/GRS: Diversity of Targets, Effects and Applications of Plant Volatiles (Jan 31 to Feb 5, 2016, Ventura, CA)",01/15/2016,12/31/2016,10000,Standard Grant,12/14/2015,12/14/2015,,1601237,Michael L. Mishkind,08090300,Direct For Biological Sciences,Direct For Biological Sciences,Gordon Research Conferences,West Kingston,028921502,4017834011,512 Liberty Lane,United States,Rhode Island,RI
"Travel Support for the 2016 Southeastern Regional Meeting of ACS Symposium ""New Chemistries towards Functional Polymeric Materials"", Columbia, SC October 23 - 26, 2016",04/01/2016,03/31/2017,2540,Standard Grant,01/29/2016,01/29/2016,,1620669,Freddy A. Khoury,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of South Carolina at Columbia,COLUMBIA,292080001,8037777093,Sponsored Awards Management,United States,South Carolina,SC
Community Workshop:NEON Management and Coordination,03/15/2016,02/28/2017,59983,Standard Grant,03/15/2016,03/15/2016,,1637973,Steven Ellis,08080000,Direct For Biological Sciences,Direct For Biological Sciences,Smithsonian Institution,Arlington,222023709,2026337110,Office of Sponsored Projects,United States,Virginia,VA
CAREER: Computational Methods for Analyzing Large-Scale Genomic Changes in Mammalian Genomes,01/01/2016,02/28/2017,232181,Continuing grant,02/02/2016,02/02/2016,,1619878,Sylvia J. Spengler,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Carnegie-Mellon University,PITTSBURGH,152133815,4122689527,5000 Forbes Avenue,United States,Pennsylvania,PA
Investigating The Origins Of Social Inequality,01/04/2016,08/31/2017,195025,Standard Grant,02/02/2016,02/02/2016,,1625950,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Central Florida,ORLANDO,328168005,4078821120,4000 CNTRL FLORIDA BLVD,United States,Florida,FL
42nd Annual Northeast Bioengineering Conference (NEBEC),03/01/2016,02/28/2017,20965,Standard Grant,03/03/2016,03/03/2016,,1619785,carol lucas,07020000,Directorate For Engineering,Directorate For Engineering,SUNY at Binghamton,BINGHAMTON,139026000,6077776136,4400 VESTAL PKWY E,United States,New York,NY
I-Corps: Commercialization for an Autonomous Attitude Determination and Control Technology,01/01/2016,06/30/2016,50000,Standard Grant,12/17/2015,12/17/2015,,1616592,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of North Dakota Main Campus,Grand Forks,582026059,7017774278,University Station,United States,North Dakota,ND
"CONFERENCE: Post-transcriptional Gene Regulation in Plants to be held July 14-15, 2016 at the Austin Convention Center in Austin, TX",05/01/2016,04/30/2017,10000,Standard Grant,03/31/2016,03/31/2016,,1631903,Karen C. Cone,08070000,Direct For Biological Sciences,Direct For Biological Sciences,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
Hot spots and moments in river corridors: a continental scale synthesis of river hydrogeomorphology and cumulative influence on water quality,03/15/2016,02/28/2018,74485,Interagency Agreement,03/14/2016,03/14/2016,,1608035,Thomas Torgersen,06030000,Directorate For Geosciences,Directorate For Geosciences,John Wesley Powell Center,Fort Collins,805268118,3032024159,2150 Center Avenue,United States,Colorado,CO
"Simons Center for Geometry and Physics Thematic Program for 2016 ""Statistical Mechanics and Combinatorics""",02/01/2016,07/31/2016,15000,Standard Grant,11/24/2015,11/24/2015,,1603185,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Indiana University,Bloomington,474013654,8128550516,509 E 3RD ST,United States,Indiana,IN
Theoretical Studies of Spectral Signatures of Large Amplitude Vibrational Motions,12/01/2015,08/31/2019,315000,Continuing grant,12/16/2015,12/16/2015,,1619660,Evelyn M. Goldfield,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
Student travel support for POPL 2016,08/01/2015,04/30/2017,15000,Standard Grant,01/27/2016,01/27/2016,,1625220,Anindya Banerjee,05010000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Washington,Seattle,981950001,2065434043,4333 Brooklyn Ave NE,United States,Washington,WA
"Conference: Harmonic Analysis, Complex Analysis, Spectral Theory and All That",01/01/2016,12/31/2016,49200,Standard Grant,12/07/2015,12/07/2015,,1600705,Bruce Kitchens,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Syracuse University,SYRACUSE,132441200,3154432807,OFFICE OF SPONSORED PROGRAMS,United States,New York,NY
Collaborative Research: Mind Mapping Consumers and Activists' Response to NGO-Corporate Partnerships,08/16/2015,03/31/2017,32266,Standard Grant,02/23/2016,02/23/2016,,1631602,mo wang,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Minnesota-Twin Cities,Minneapolis,554552070,6126245599,200 OAK ST SE,United States,Minnesota,MN
DISSERTATION RESEARCH: Mechanisms of host preference in the ectomycorrhizal symbiosis,06/01/2016,05/31/2018,20538,Standard Grant,03/17/2016,03/17/2016,,1600724,Leslie Rissler,08010207,Direct For Biological Sciences,Direct For Biological Sciences,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
I-Corps: Efficient Terrain-Based Measurement Gathering for Path Loss Inference,12/15/2015,05/31/2016,50000,Standard Grant,12/08/2015,12/08/2015,,1600549,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Southern Methodist University,Dallas,752750302,2147682030,6425 BOAZ,United States,Texas,TX
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/04/2016,04/04/2016,,1604232,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Jagannath Aukosh S,New York,100121110,None,None,United States,New York,NY
Underrepresented Students In Topology and Algebra Research Symposium (USTARS),01/01/2016,12/31/2016,35560,Standard Grant,12/21/2015,03/31/2016,,1602558,Swatee Naik,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Sam Houston State University,Huntsville,773412392,9362943621,P O Box 2392,United States,Texas,TX
IT Catalyst: Evaluating the Impact of Service on Career Advancement of Women Faculty at SF State,05/01/2016,04/30/2019,250000,Standard Grant,04/12/2016,04/12/2016,,1608269,Jessie A. Dearo,11060000,Direct For Education and Human Resources,Direct For Education and Human Resources,San Francisco State University,San Francisco,941321722,4154053943,1600 Holloway Ave,United States,California,CA
Ultra-sensitive and specific graphene Immunosensors for in-situ mercury measurement in marine ecosystems,07/01/2016,06/30/2017,136968,Standard Grant,04/07/2016,04/07/2016,,1630195,Kandace S. Binkley,06040100,Directorate For Geosciences,Directorate For Geosciences,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
CAREER: The Metabolism of Prenylated Benzoquinones through the Lens of Plant-Prokaryote Phylogenomics,10/01/2015,07/31/2017,407939,Continuing grant,01/14/2016,01/14/2016,,1608088,Susanne von Bodman,08070700,Direct For Biological Sciences,Direct For Biological Sciences,University of Florida,GAINESVILLE,326112002,3523923516,1 UNIVERSITY OF FLORIDA,United States,Florida,FL
Collaborative Research: P2C2--A 5-million-year Record of Western Mediterranean Sea Level Variability,05/01/2016,04/30/2019,297491,Standard Grant,04/05/2016,04/05/2016,,1602670,David J. Verardo,06020108,Directorate For Geosciences,Directorate For Geosciences,University of South Florida,Tampa,336129446,8139742897,3702 Spectrum Blvd.,United States,Florida,FL
I-Corps: Hummingbird Robot,02/15/2016,07/31/2016,50000,Standard Grant,02/03/2016,02/03/2016,,1624273,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
CDS&E: Exploiting Multiple Levels of Parallelism in Quantum Chemistry Software,08/01/2016,07/31/2019,690710,Standard Grant,03/28/2016,03/28/2016,,1609842,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
Conference on Advances in Geometric Representation Theory,03/01/2016,02/28/2017,35000,Standard Grant,01/22/2016,01/22/2016,,1600220,Matthew Douglass,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
I-Corps: Development of Active Driving Assistance (ADA) Systems for Safety Enhancement and Real Time Traffic Mapping,12/15/2015,05/31/2016,50000,Standard Grant,12/10/2015,12/10/2015,,1613100,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
DISSERTATION RESEARCH: The phylogenetic consequences of mutualism and antagonism in the coevolution of palm flower weevils.,06/01/2016,05/31/2017,21970,Standard Grant,03/15/2016,03/15/2016,,1601356,J. Gordon Burleigh,08010206,Direct For Biological Sciences,Direct For Biological Sciences,Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
Redefining Environmental Engineering and Science in the 21st Century,02/01/2016,01/31/2017,49500,Standard Grant,01/20/2016,01/20/2016,,1602500,William Cooper,07020000,Directorate For Engineering,Directorate For Engineering,University of North Carolina at Chapel Hill,CHAPEL HILL,275991350,9199663411,104 AIRPORT DR STE 2200,United States,North Carolina,NC
DISSERTATION RESEARCH: Mechanisms of microbe-mediated plant species coexistence across spatial and temporal scales,07/01/2016,06/30/2018,19630,Standard Grant,02/16/2016,02/16/2016,,1601210,George Malanson,08010208,Direct For Biological Sciences,Direct For Biological Sciences,University of New Mexico,ALBUQUERQUE,871310001,5052774186,"1700 Lomas Blvd. NE, Suite 2200",United States,New Mexico,NM
"Nanoantenna Optomechanics: Forces, Devices, and Sensors",01/01/2016,05/31/2017,227139,Standard Grant,03/15/2016,03/15/2016,,1632797,Mahmoud Fallahi,07010000,Directorate For Engineering,Directorate For Engineering,University of California-San Diego,La Jolla,920930934,8585344896,Office of Contract & Grant Admin,United States,California,CA
"CSEDI: Integrated seismic, geodynamic, and mineral physics studies of the deepest lower mantle",05/01/2016,04/30/2018,195445,Continuing grant,03/25/2016,03/25/2016,,1600956,Robin Reichlin,06030000,Directorate For Geosciences,Directorate For Geosciences,California Institute of Technology,PASADENA,911250600,6263956219,1200 E California Blvd,United States,California,CA
Workshop on Distance Geometry: Theory and Applications,04/01/2016,03/31/2017,23155,Standard Grant,03/29/2016,03/29/2016,,1623007,Jacques Verstraete,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Rutgers University New Brunswick,Piscataway,088543925,8489320150,33 Knightsbridge Road,United States,New Jersey,NJ
Collaborative Research: Standard: Comparison of Communications across Campus Cultures (4C Project): Toward Evidence-based Customization of Learning Experiences for CCE STEM,01/01/2016,08/31/2019,208892,Standard Grant,03/11/2016,03/11/2016,,1624225,Wenda Bauchspies,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Indiana University,Bloomington,474013654,8128550516,509 E 3RD ST,United States,Indiana,IN
Anti-Counterfeit Printing and Packaging Technology,09/01/2016,08/31/2019,199902,Standard Grant,03/28/2016,03/28/2016,,1601603,Elizabeth Teles,11040100,Direct For Education and Human Resources,Direct For Education and Human Resources,Central Piedmont Community College,Charlotte,282355009,7043305963,P O BOX 35009,United States,North Carolina,NC
"International Summer School on Biocomplexity, Biodesign and Bioinnovation",05/01/2016,04/30/2017,15000,Standard Grant,03/04/2016,03/04/2016,,1630471,carol lucas,07020000,Directorate For Engineering,Directorate For Engineering,University of Houston,Houston,772042015,7137435773,4800 Calhoun Boulevard,United States,Texas,TX
Conference on Differential Geometry,03/01/2016,02/28/2017,30621,Standard Grant,01/11/2016,01/11/2016,,1603351,Shuguang Wang,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,SUNY at Stony Brook,Stony Brook,117940001,6316329949,WEST 5510 FRK MEL LIB,United States,New York,NY
Collaborative Proposal: Broadening Participation for STEM Women of Color,04/15/2016,03/31/2018,305903,Standard Grant,04/08/2016,04/08/2016,,1613330,Andrea Johnson,11060000,Direct For Education and Human Resources,Direct For Education and Human Resources,Fielding Graduate University,Santa Barbara,931053814,2027535020,2020 De la Vina Street,United States,California,CA
Interagency Agreement to Support NSF OISE Overseas Office (NSF Europe-Eurasia-Brussels),11/01/2015,11/30/2016,215144,Contract Interagency Agreement,11/09/2015,04/07/2016,,1602832,W. Y. B. Chang,01090000,Office Of The Director,Office Of The Director,DEPARTMENT OF STATE,Washington,205220002,None,2201 C Street NW,United States,District of Columbia,DC
Fingerprinting and Calibrating Low Oxygen Conditions Using Vanadium Isotopes,11/04/2015,07/31/2017,309595,Standard Grant,03/08/2016,03/08/2016,,1624895,Donald L. Rice,06040300,Directorate For Geosciences,Directorate For Geosciences,Florida State University,TALLAHASSEE,323064166,8506445260,"874 Traditions Way, 3rd Floor",United States,Florida,FL
I-Corps: Pain-free Database Administration via Workload Intelligence,02/15/2016,07/31/2016,50000,Standard Grant,02/16/2016,02/16/2016,,1624330,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,University of Michigan Ann Arbor,Ann Arbor,481091274,7347636438,3003 South State St. Room 1062,United States,Michigan,MI
A Game Changer-The Louis Stokes Alliances for Minority Participation Program.,01/01/2016,12/31/2016,149998,Standard Grant,12/22/2015,12/22/2015,,1613599,Dr. A. James Hicks,11060000,Direct For Education and Human Resources,Direct For Education and Human Resources,Jackson State University,Jackson,392170002,6019792931,1400 J R LYNCH ST.,United States,Mississippi,MS
PostDoctoral Research Fellowship,06/01/2016,05/31/2020,150000,Fellowship,03/24/2016,03/24/2016,,1606264,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Kennedy Edward H,Philadelphia,19146,None,None,United States,Pennsylvania,PA
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/07/2016,04/07/2016,,1606407,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Solus Liam T,Brentwood,370273504,None,None,United States,Tennessee,TN
RAPID: Characterizing El Nino Runoff And Sedimentation In Small Drainage Basins: A Geoarchaeological Study,01/01/2016,12/31/2016,18333,Standard Grant,12/10/2015,12/10/2015,,1611881,John E. Yellen,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Harvard University,Cambridge,021385366,6174955501,1033 MASSACHUSETTS AVE,United States,Massachusetts,MA
WORKSHOP: Emerging Opportunities in Ceramic and Glass Science - A Workshop,05/15/2016,04/30/2017,132825,Standard Grant,04/12/2016,04/12/2016,,1619666,Lynnette D. Madsen,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,California Institute of Technology,PASADENA,911250600,6263956219,1200 E California Blvd,United States,California,CA
Collaborative Research: Microbial Community Assembly in Coastal Waters of the Western Antarctic Peninsula,09/01/2015,08/31/2016,32969,Standard Grant,01/07/2016,01/07/2016,,1612956,Christian Fritsen,06090300,Directorate For Geosciences,Directorate For Geosciences,University of Maine,ORONO,044695717,2075811484,5717 Corbett Hall,United States,Maine,ME
EAGER: Exploring Aerosol Indirect Effects in a Laboratory Cloud Chamber,03/15/2016,02/28/2018,120339,Continuing grant,03/14/2016,03/14/2016,,1623429,Chungu Lu,06020105,Directorate For Geosciences,Directorate For Geosciences,Michigan Technological University,Houghton,499311295,9064871885,1400 Townsend Drive,United States,Michigan,MI
PostDoctoral Research Fellowship,09/01/2016,08/31/2020,150000,Fellowship,04/05/2016,04/05/2016,,1606260,Bruce P. Palka,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Pascoe James E,La Jolla,920930112,None,None,United States,California,CA
RAPID: Using an extreme climatological event to inform the evolutionary systems biology of thermogenic performance in deer mice.,10/01/2015,07/31/2016,52759,Standard Grant,03/31/2016,03/31/2016,,1632611,Kimberly Hammond,08090300,Direct For Biological Sciences,Direct For Biological Sciences,University of Montana,Missoula,598120001,4062436670,32 CAMPUS DRIVE MAIN HALL,United States,Montana,MT
DISSERTATION RESEARCH: Carnivorous plant syndromes: The role of volatile emissions in the diversification of the pitcher plant genus Sarracenia,05/01/2016,11/30/2017,18840,Standard Grant,03/08/2016,03/08/2016,,1601273,Simon Malcomber,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of Georgia Research Foundation Inc,ATHENS,306021589,7065425939,310 East Campus Rd,United States,Georgia,GA
"Cleaning, Organizing, and Uniting Linguistic Databases (the CLOUD Project)",12/31/2015,04/30/2017,10020,Standard Grant,12/14/2015,12/14/2015,,1619857,Joan Maling,04040000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",University of Maryland College Park,COLLEGE PARK,207425141,3014056269,3112 LEE BLDG 7809 Regents Drive,United States,Maryland,MD
EAGER: Developing an Imaging Tool to Investigate the Dynamics of Nanoparticles in 2D,03/01/2016,02/28/2018,149504,Continuing grant,02/11/2016,02/11/2016,,1619651,Paul Sokol,03070000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Massachusetts Amherst,AMHERST,010039242,4135450698,Research Administration Building,United States,Massachusetts,MA
I-Corps Teams: Chromanostics: Minimal-equipment synthetic biology diagnostics,04/01/2016,09/30/2016,50000,Standard Grant,02/23/2016,02/23/2016,,1632164,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,Georgia Tech Research Corporation,Atlanta,303320420,4048944819,Office of Sponsored Programs,United States,Georgia,GA
A Three-Workshop Series on the Mathematics and Physics of F-theory,06/01/2016,05/31/2019,50000,Standard Grant,01/22/2016,01/22/2016,,1603247,Matthew Douglass,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Virginia Polytechnic Institute and State University,BLACKSBURG,240610001,5402315281,Sponsored Programs 0170,United States,Virginia,VA
RAPID - Abnormal bleaching in Cliona varians in the Florida Keys: Consequences for coral reef health.,01/01/2016,12/31/2016,69753,Standard Grant,12/21/2015,12/21/2015,,1617255,Michael Sieracki,06040300,Directorate For Geosciences,Directorate For Geosciences,University of Richmond,RICHMOND,231730001,8042898100,202 MARYLAND HALL,United States,Virginia,VA
DISSERTATION RESEARCH: The Genetics of Adaptation and Diversification in the avian genus Zosterops,06/01/2016,05/31/2018,20375,Standard Grant,03/28/2016,03/28/2016,,1601814,David Mindell,08010206,Direct For Biological Sciences,Direct For Biological Sciences,University of California-Berkeley,BERKELEY,947045940,5106428109,Sponsored Projects Office,United States,California,CA
DISSERTATION RESEARCH: QTL Mapping Floral Trait Divergence and Reproductive Isolation between a Jaltomata (Solanaceae) Species Pair,07/01/2016,06/30/2017,20246,Standard Grant,03/23/2016,03/23/2016,,1601078,George W. Gilchrist,08010207,Direct For Biological Sciences,Direct For Biological Sciences,Indiana University,Bloomington,474013654,8128550516,509 E 3RD ST,United States,Indiana,IN
"Midwest Dynamical Systems Conferences; Indianapolis, IN - October 21-23, 2016 ; (2nd Conference in 2017)",08/01/2016,07/31/2018,25000,Continuing grant,11/06/2015,11/06/2015,,1600654,Edward Taylor,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Northwestern University,Evanston,602013149,8474913003,1801 Maple Ave.,United States,Illinois,IL
PostDoctoral Research Fellowship,09/15/2016,08/31/2020,150000,Fellowship,04/01/2016,04/01/2016,,1606371,Victor Roytburd,03040000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Siegel Kyler B,Palo Alto,94301,None,None,United States,California,CA
"RAPID: Risk Perception, Threat, and Anxiety Decay in Lone-Wolf Terrorist Events in the US",03/01/2016,02/28/2017,186016,Standard Grant,03/02/2016,03/02/2016,,1624296,Robert E. O'Connor,04050000,"Direct For Social, Behav & Economic Scie","Direct For Social, Behav & Economic Scie",Texas A&M University Main Campus,College Station,778454375,9798626777,400 Harvey Mitchell Pkwy South,United States,Texas,TX
EAGER Collaborative Research: Exploring dust impacts on terrestrial ecosystem processes using an innovative and integrated approach,11/15/2015,10/31/2016,36586,Standard Grant,11/02/2015,11/02/2015,,1600902,Justin Lawrence,06030200,Directorate For Geosciences,Directorate For Geosciences,University of North Texas,DENTON,762035017,9405653940,1155 Union Circle #305250,United States,Texas,TX
I-Corps: Green Ninja Curriculum for STEM Education,03/15/2016,08/31/2016,50000,Standard Grant,03/09/2016,03/09/2016,,1636471,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,San Jose State University Foundation,San Jose,951125569,4089241400,210 North Fourth Street,United States,California,CA
Conference Title: Research Integration of Early Findings from Institution Transformation Projects,03/15/2016,02/28/2017,45808,Standard Grant,03/14/2016,03/14/2016,,1622893,Myles G. Boylan,11040200,Direct For Education and Human Resources,Direct For Education and Human Resources,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
