awardtitle,awardeffectivedate,awardexpirationdate,awardamount,awardinstrument,minamdletterdate,maxamdletterdate,arraamount,awardid,programofficer,organizationcode,organizationdirectorate,organizationdivision,institutionname,institutioncityname,institutionzipcode,institutionphonenumber,institutionstreetaddress,institutioncountryname,institutionstatename,institutionstatecode
Collaborative Research: Physical-Statistical Modeling and Optimization of Cardiovascular System,10/01/2015,07/31/2016,92620,Standard Grant,12/09/2015,12/09/2015,,1619648,Diwakar Gupta,07030000,Directorate For Engineering,Directorate For Engineering,Pennsylvania State Univ University Park,UNIVERSITY PARK,168027000,8148651372,110 Technology Center Building,United States,Pennsylvania,PA
INSPIRE: Minimal adaptive and replicating cell,01/03/2016,06/30/2020,1000000,Standard Grant,03/04/2016,03/04/2016,,1632756,David A. Rockcliffe,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,University of Texas at Austin,Austin,787121532,5124716424,"101 E. 27th Street, Suite 5.300",United States,Texas,TX
"I-Corps: Nanochon, a Commercial Venture to 3D Print Regenerative Implants for Joint Reconstruction",01/15/2016,06/30/2016,50000,Standard Grant,01/13/2016,01/13/2016,,1612567,Rathindra DasGupta,07070000,Directorate For Engineering,Directorate For Engineering,George Washington University,Washington,200522000,2029946255,2121 Eye Street NW,United States,District of Columbia,DC
Floodplain geomorphology and circulation,11/15/2015,10/31/2016,19999,Standard Grant,11/06/2015,11/06/2015,,1604063,Justin Lawrence,06030200,Directorate For Geosciences,Directorate For Geosciences,University of South Carolina at Columbia,COLUMBIA,292080001,8037777093,Sponsored Awards Management,United States,South Carolina,SC
Collaborative Research: SI2-SSE: UT Wrangler: Understanding the Software Needs of High End Computer Users,10/01/2015,03/31/2016,46194,Standard Grant,03/15/2016,03/15/2016,,1636501,Rajiv Ramnath,05090000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
EAGER Germination: Crystallizing Transformative Ideas by Seeding a Diverse Knowledge Community,04/15/2016,03/31/2017,100000,Standard Grant,03/30/2016,03/30/2016,,1629367,Garie A. Fordyce,07040000,Directorate For Engineering,Directorate For Engineering,University of Illinois at Urbana-Champaign,CHAMPAIGN,618207473,2173332187,SUITE A,United States,Illinois,IL
Student Travel Support for ACM HotMobile 2016,12/01/2015,11/30/2016,9800,Standard Grant,11/24/2015,11/24/2015,,1613191,Wenjing Lou,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Colorado at Boulder,Boulder,803031058,3034926221,"3100 Marine Street, Room 481",United States,Colorado,CO
CS Gateways 2015: Sustaining NSF-Supported Computer Science Education Curricula,01/15/2016,06/30/2016,99957,Standard Grant,01/06/2016,01/06/2016,,1600990,Janice E. Cuny,05050000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,University of Chicago,Chicago,606375418,7737028669,5801 South Ellis Avenue,United States,Illinois,IL
New Receptors for signaling bacterial nucleotides,02/19/2016,07/31/2016,104708,Standard Grant,03/04/2016,03/04/2016,,1636752,David A. Rockcliffe,03090000,Direct For Mathematical & Physical Scien,Direct For Mathematical & Physical Scien,Purdue University,West Lafayette,479072114,7654941055,Young Hall,United States,Indiana,IN
Transatlantic Data Science Workshop,02/15/2016,01/31/2017,49537,Standard Grant,02/11/2016,02/11/2016,,1623097,Wendy Nilsen,05020000,Direct For Computer & Info Scie & Enginr,Direct For Computer & Info Scie & Enginr,Stanford University,Palo Alto,943041212,6507232300,3160 Porter Drive,United States,California,CA
